City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
210,Great Falls,47.5002,-111.3008,70.68,49,100,4.79,US,overcast clouds
211,Sasolburg,-26.8136,27.817,68.67,16,8,10.56,ZA,clear sky
212,Cravo Norte,6.3017,-70.2041,91.35,47,53,4.97,CO,broken clouds
213,Aljezur,37.3191,-8.8033,74.84,76,100,6.53,PT,overcast clouds
214,Bad Ragaz,47.006,9.5027,56.14,92,42,4.03,CH,scattered clouds
215,Shevchenkove,49.6959,37.1735,69.4,61,7,19.39,UA,clear sky
216,Bosaso,11.2842,49.1816,89.56,55,7,0.87,SO,clear sky
217,Kenai,60.5544,-151.2583,54.09,76,18,3.94,US,few clouds
218,Arraial Do Cabo,-22.9661,-42.0278,73.36,60,20,13.8,BR,few clouds
219,Kutum,14.2,24.6667,81.46,38,63,8.19,SD,broken clouds
220,Kyabe,9.4515,18.9449,70.83,96,54,2.26,TD,broken clouds
221,Fortuna,40.5982,-124.1573,60.93,92,100,1.01,US,light rain
222,Takoradi,4.8845,-1.7554,75.72,85,100,10.11,GH,overcast clouds
223,Kijang,35.2442,129.2139,78.53,95,100,38.1,KR,heavy intensity rain
224,Lavrentiya,65.5833,-171.0,37.45,90,100,12.73,RU,overcast clouds
225,Sorong,-0.8833,131.25,78.67,78,100,3.4,ID,light rain
226,Los Llanos De Aridane,28.6585,-17.9182,73.15,82,75,10.36,ES,broken clouds
227,Cerrito,6.8432,-72.694,61.92,81,81,0.94,CO,broken clouds
228,Saint-Georges,12.0564,-61.7485,87.48,74,20,14.97,GD,few clouds
229,Kinwat,19.6333,78.2,75.7,91,100,4.7,IN,overcast clouds
230,Souillac,-20.5167,57.5167,71.98,78,75,13.8,MU,broken clouds
231,Egvekinot,66.3167,-179.1667,35.1,84,100,4.92,RU,overcast clouds
232,Cockburn Town,21.4612,-71.1419,83.35,75,95,18.77,TC,overcast clouds
233,Havoysund,70.9963,24.6622,46.63,91,100,18.5,NO,overcast clouds
234,Ayan,56.45,138.1667,47.95,91,100,10.45,RU,light rain
235,Bengkulu,-3.8004,102.2655,74.93,91,100,6.78,ID,overcast clouds
236,Praia Da Vitoria,38.7333,-27.0667,79.05,78,75,8.39,PT,broken clouds
237,Rypefjord,70.6333,23.6667,43.27,100,75,17.27,NO,broken clouds
238,Bubaque,11.2833,-15.8333,78.66,76,100,4.63,GW,light rain
239,Constitucion,-35.3333,-72.4167,53.35,52,8,16.13,CL,clear sky
240,Farafangana,-22.8167,47.8333,69.06,86,5,10.47,MG,light rain
241,Olot,42.181,2.4901,68.59,81,71,2.98,ES,broken clouds
242,Siegen,50.8667,8.0333,45.73,95,100,12.66,DE,moderate rain
243,Saint-Francois,46.4154,3.9054,53.04,66,0,0.0,FR,clear sky
244,Mecca,21.4267,39.8261,87.42,37,7,5.82,SA,clear sky
245,Topolobampo,25.6,-109.05,88.86,64,84,6.78,MX,broken clouds
246,Wanning,18.8003,110.3967,77.65,85,100,3.42,CN,overcast clouds
247,Terrasini,38.146,13.0844,75.22,53,0,10.36,IT,clear sky
248,Notodden,59.5594,9.2585,53.51,84,24,4.63,NO,few clouds
249,Dese,11.1333,39.6333,55.47,87,100,2.33,ET,moderate rain
250,Valparaiso,-33.0393,-71.6273,61.0,85,75,11.5,CL,broken clouds
251,Ostrovnoy,68.0531,39.5131,46.87,96,100,6.55,RU,overcast clouds
252,Saint George,37.1041,-113.5841,88.25,26,0,5.99,US,clear sky
253,Sao Domingos,-13.3983,-46.3183,95.72,19,54,2.37,BR,broken clouds
254,Mana,5.6592,-53.7767,85.96,62,85,12.84,GF,overcast clouds
255,Mirnyy,62.5353,113.9611,28.24,68,100,4.0,RU,overcast clouds
256,Svetlogorsk,52.6333,29.7333,48.02,93,100,17.31,BY,overcast clouds
257,Saint-Augustin,51.226,-58.6502,48.47,61,100,21.83,CA,overcast clouds
258,Aguimes,27.9054,-15.4461,70.66,94,75,1.14,ES,broken clouds
259,Bure,10.7,37.0667,56.16,93,88,4.23,ET,overcast clouds
260,Shenjiamen,29.9576,122.298,73.87,81,3,24.56,CN,clear sky
261,Paramonga,-10.6667,-77.8333,66.16,75,29,12.06,PE,scattered clouds
262,Haines Junction,60.7522,-137.5108,46.35,71,96,2.3,CA,overcast clouds
263,Wuan,31.6836,112.0044,74.08,63,55,5.3,CN,broken clouds
264,Sumbe,-11.2061,13.8437,72.05,82,100,7.11,AO,overcast clouds
265,Lobito,-12.3481,13.5456,71.46,81,7,4.81,AO,clear sky
266,Ladario,-19.0047,-57.6017,98.89,28,0,13.8,BR,clear sky
267,Port Hedland,-20.3167,118.5667,68.05,83,0,10.36,AU,clear sky
268,Qui Nhon,13.7667,109.2333,77.94,84,100,5.44,VN,overcast clouds
269,Kloulklubed,7.0419,134.2556,81.3,77,100,9.78,PW,heavy intensity rain
270,Roald,62.5833,6.1333,53.76,87,75,12.66,NO,light intensity shower rain
271,Rawson,-43.3002,-65.1023,47.52,56,100,18.14,AR,overcast clouds
272,Maniitsoq,65.4167,-52.9,45.25,82,100,13.85,GL,overcast clouds
273,Stephenville,32.2207,-98.2023,94.82,34,0,3.44,US,clear sky
274,Tonj,7.2737,28.6822,75.22,78,99,1.14,SS,overcast clouds
275,Butaritari,3.0707,172.7902,81.19,77,13,15.48,KI,light rain
276,Viesca,25.35,-102.8,85.89,36,91,4.05,MX,overcast clouds
277,Porto Novo,6.4965,2.6036,76.77,84,100,9.24,BJ,overcast clouds
278,Pilar,-9.5972,-35.9567,78.73,72,34,8.46,BR,scattered clouds
279,Khasan,42.4308,130.6434,61.74,50,22,15.86,RU,few clouds
280,Komsomolskiy,40.4272,71.7189,68.72,52,13,6.91,UZ,few clouds
281,Klenovyy,48.1193,39.4588,70.11,61,100,8.86,UA,overcast clouds
282,Lukulu,-14.3707,23.242,79.21,23,61,3.04,ZM,broken clouds
283,Nabire,-3.3667,135.4833,74.75,90,100,3.0,ID,overcast clouds
284,Plainview,40.7765,-73.4673,85.98,60,7,5.99,US,clear sky
285,Monroe,43.1501,-77.6831,83.26,63,82,3.0,US,broken clouds
286,Zhigalovo,54.8097,105.1578,36.09,93,100,1.92,RU,overcast clouds
287,Carnarvon,-24.8667,113.6333,64.96,59,0,20.22,AU,clear sky
288,Katsuura,35.1333,140.3,79.39,91,75,18.54,JP,broken clouds
289,Kaeo,-35.1,173.7833,61.32,88,97,13.11,NZ,overcast clouds
290,Bassano,50.7834,-112.4685,60.64,35,100,3.71,CA,overcast clouds
291,Talnakh,69.4865,88.3972,36.99,100,100,1.1,RU,light rain
292,Kitgum,3.2783,32.8867,72.25,72,100,1.14,UG,overcast clouds
293,Mount Gambier,-37.8333,140.7667,43.43,92,7,5.37,AU,clear sky
294,Leningradskiy,69.3833,178.4167,33.1,98,100,21.79,RU,light snow
295,Guadalupe Y Calvo,26.1,-106.9667,74.01,42,100,4.9,MX,overcast clouds
296,Tura,25.5198,90.2201,75.45,92,20,2.19,IN,few clouds
297,Hokitika,-42.7167,170.9667,49.59,92,100,8.57,NZ,overcast clouds
298,Malpe,13.35,74.7167,79.9,88,100,1.05,IN,overcast clouds
299,Carutapera,-1.195,-46.02,82.8,70,100,8.72,BR,overcast clouds
300,Palauig,15.435,119.9045,79.36,83,80,9.46,PH,broken clouds
301,Lyubim,58.3625,40.6843,51.82,89,100,5.46,RU,overcast clouds
302,Calvinia,-31.4707,19.776,45.05,61,49,6.64,ZA,scattered clouds
303,College,64.8569,-147.8028,49.06,80,95,7.76,US,overcast clouds
304,Hamilton,39.1834,-84.5333,85.75,55,0,5.01,US,clear sky
305,Shetpe,44.1667,52.1167,75.79,29,1,10.67,KZ,clear sky
306,Rtishchevo,52.2604,43.7874,71.26,61,84,16.96,RU,broken clouds
307,Luwuk,-0.9516,122.7875,75.9,84,100,3.33,ID,overcast clouds
308,Sao Sebastiao,-23.76,-45.4097,68.92,66,11,7.2,BR,few clouds
309,Freeport,40.6576,-73.5832,86.49,59,4,4.0,US,clear sky
310,Isiolo,0.3546,37.5822,71.85,56,91,17.83,KE,overcast clouds
311,Bulgan,48.8125,103.5347,36.72,70,4,2.19,MN,clear sky
312,Nizwa,22.9333,57.5333,86.23,43,4,5.08,OM,clear sky
313,Adrar,20.5022,-10.0711,93.15,20,80,4.99,MR,broken clouds
314,Vigrestad,58.5667,5.7,56.59,78,3,16.24,NO,clear sky
315,Whitehorse,60.7161,-135.0538,50.09,100,75,0.0,CA,fog
316,Slave Lake,55.2834,-114.769,51.78,93,100,8.05,CA,overcast clouds
317,Berlevag,70.8578,29.0864,46.4,93,75,14.97,NO,broken clouds
318,Vaitape,-16.5167,-151.75,78.49,70,13,20.76,PF,few clouds
319,Parabel,58.6978,81.4825,52.5,62,100,14.61,RU,overcast clouds
320,Norman Wells,65.282,-126.8329,53.91,56,100,10.2,CA,overcast clouds
321,Los Alamos,35.8881,-106.307,80.42,28,0,11.01,US,clear sky
322,Flin Flon,54.7682,-101.865,65.5,47,99,5.75,CA,overcast clouds
323,Itarema,-2.9248,-39.9167,82.83,68,12,19.57,BR,few clouds
324,Sayla,22.55,71.4667,80.37,73,39,9.75,IN,scattered clouds
325,Ormara,25.2088,64.6357,80.1,79,0,3.27,PK,clear sky
326,Adolfo Lopez Mateos,28.4667,-107.3,76.93,57,12,13.58,MX,few clouds
327,Launceston,-41.45,147.1667,44.15,96,40,5.75,AU,scattered clouds
328,Salamiyah,35.0113,37.0532,77.18,45,0,5.3,SY,clear sky
329,Abu Samrah,35.3029,37.1841,78.75,42,0,7.52,SY,clear sky
330,Yokadouma,3.5167,15.05,71.83,93,100,0.87,CM,light rain
331,Pareora,-44.4871,171.2132,47.17,97,100,5.93,NZ,overcast clouds
332,Dwarka,22.2394,68.9678,82.42,72,21,9.01,IN,few clouds
333,Stolin,51.8912,26.846,48.34,93,100,12.1,BY,moderate rain
334,Herat,34.5,62.0,70.2,26,0,16.04,AF,clear sky
335,Valkeala,60.9401,26.7979,48.31,93,0,4.61,FI,clear sky
336,San Quintin,30.4833,-115.95,71.8,65,0,12.12,MX,clear sky
337,Benghazi,32.1167,20.0667,80.38,74,0,10.96,LY,clear sky
338,Springdale,36.1867,-94.1288,92.73,56,2,4.0,US,clear sky
339,Alvorada,-12.48,-49.1247,94.66,24,88,1.3,BR,light rain
340,Atar,20.5169,-13.0499,94.41,19,45,6.87,MR,scattered clouds
341,Havelock,34.8791,-76.9013,86.05,70,66,4.0,US,broken clouds
342,Riyadh,24.6877,46.7219,89.74,14,0,7.9,SA,clear sky
343,Ola,59.5833,151.2833,42.96,86,100,4.03,RU,overcast clouds
344,Kuching,1.55,110.3333,75.42,94,40,2.3,MY,scattered clouds
345,Santa Ana,33.7456,-117.8678,82.65,63,75,10.36,US,broken clouds
346,Yamada,39.4667,141.95,75.43,96,100,11.48,JP,overcast clouds
